,0
0,6
1,7
2,6
3,7
4,6
5,6
6,10
7,11
8,9
9,7
10,8
11,9
12,8
13,8
14,11
15,9
16,8
17,9
18,9
19,9
20,12
21,11
22,9
23,10
24,10
25,10
26,11
27,10
28,9
29,9
30,9
31,8
32,7
33,9
34,8
35,9
36,10
37,11
38,8
39,9
40,10
41,9
42,10
43,9
44,8
45,7
46,6
47,8
48,9
49,10
50,9
51,9
52,10
53,8
54,9
55,8
56,9
57,10
58,7
59,7
60,6
61,5
62,6
63,6
64,8
65,8
66,6
67,7
68,6
69,6
70,7
71,6
72,5
73,6
74,7
75,7
76,6
77,6
78,7
79,8
80,7
81,8
82,8
83,7
84,7
85,6
86,7
87,8
88,7
89,7
90,6
91,7
92,9
93,9
94,10
95,10
96,8
97,9
98,8
99,8
100,10
101,10
102,7
103,12
104,19
105,13
106,8
107,9
108,9
109,10
110,10
111,9
112,11
113,8
114,7
115,9
116,9
117,8
118,10
119,10
120,9
121,9
122,10
123,9
124,8
125,10
126,7
127,7
128,9
129,9
130,9
131,10
132,10
133,10
134,8
135,7
136,10
137,9
138,11
139,12
140,11
141,11
142,11
143,10
144,9
145,9
146,11
147,11
148,9
149,9
150,7
151,10
152,11
153,11
154,9
155,9
156,8
157,8
158,9
159,9
160,7
161,9
162,8
163,9
164,9
165,9
166,10
167,8
168,11
169,12
170,11
171,9
172,10
173,11
174,9
175,10
176,12
177,9
178,9
179,8
180,8
181,8
182,8
183,8
184,8
185,8
186,8
187,8
188,11
189,9
190,9
191,9
192,11
193,10
194,10
195,9
196,8
197,8
198,8
199,9
200,7
201,7
202,7
203,9
204,8
205,9
206,8
207,7
208,8
209,8
210,8
211,8
212,9
213,7
214,9
215,9
216,9
217,10
218,10
219,8
220,8
221,7
222,7
223,8
224,7
225,7
226,7
227,7
228,7
229,6
230,6
231,8
232,10
233,8
234,8
235,7
236,9
237,7
238,8
239,8
240,7
241,8
242,7
243,7
244,8
245,8
246,7
247,7
248,7
249,9
250,8
251,7
252,8
253,8
254,7
255,7
256,7
257,8
258,10
259,11
260,11
261,11
262,12
263,12
264,11
265,8
266,10
267,10
268,9
269,11
270,12
271,10
272,9
273,7
274,7
275,7
276,6
277,7
278,6
279,7
280,7
281,7
282,6
283,7
284,7
285,7
286,7
287,7
288,7
289,8
290,5
291,6
292,7
293,6
294,6
295,7
296,7
297,7
298,6
299,6
300,7
301,8
302,7
303,8
304,6
305,6
306,7
307,7
308,7
309,7
310,8
311,8
312,6
313,6
314,6
315,7
316,6
317,7
318,6
319,7
320,7
321,8
322,7
323,7
324,7
325,6
326,7
327,7
328,8
329,6
330,6
331,7
332,7
333,7
334,7
335,6
336,7
337,7
338,7
339,6
340,7
341,7
342,6
343,5
344,6
345,6
346,7
347,8
348,7
349,7
350,5
351,8
352,7
353,7
354,5
355,6
356,7
357,7
358,6
359,6
360,7
361,7
362,7
363,7
364,8
365,7
366,9
367,9
368,5
369,8
370,7
371,6
372,6
373,7
374,9
375,9
376,8
377,8
378,6
379,6
380,7
381,8
382,6
383,7
384,7
385,6
386,6
387,8
388,11
389,10
390,10
391,10
392,12
393,12
394,12
395,11
396,9
397,9
398,8
399,9
400,7
401,7
402,8
403,8
404,9
405,7
406,9
407,7
408,7
409,7
410,6
411,8
412,7
413,7
414,10
415,10
416,7
417,7
418,7
419,7
420,7
421,8
422,8
423,8
424,6
425,8
426,8
427,7
428,7
429,7
430,8
431,8
432,7
433,8
434,6
435,9
436,7
437,7
438,9
439,7
440,7
441,9
442,8
443,8
444,8
445,9
446,7
447,8
448,8
449,6
450,7
451,9
452,9
453,8
454,8
455,9
456,7
457,7
458,8
459,9
460,8
461,7
462,7
463,8
464,8
465,8
466,8
467,8
468,6
469,7
470,7
471,7
472,7
473,8
474,7
475,7
476,7
477,7
478,8
479,7
480,6
481,7
482,7
483,8
484,7
485,7
486,8
487,8
488,7
489,7
490,7
491,8
492,8
493,8
494,7
495,7
496,7
497,7
498,8
499,8
500,9
501,6
502,7
503,8
504,8
505,8
506,8
507,7
508,8
509,8
510,7
511,9
512,6
513,6
514,7
515,7
516,7
517,6
518,7
519,6
520,7
521,8
522,7
523,8
524,7
525,8
526,7
527,9
528,8
529,8
530,8
531,8
532,7
533,6
534,7
535,7
536,8
537,8
538,8
539,8
540,6
541,7
542,7
543,7
544,7
545,7
546,7
547,6
548,6
549,7
550,5
551,5
552,5
553,5
554,5
555,4
556,5
557,6
558,6
559,6
560,6
561,6
562,5
563,7
564,6
565,5
566,6
567,9
568,7
569,6
570,7
571,7
572,7
573,11
574,13
575,7
576,8
577,8
578,11
579,13
580,11
581,7
582,9
583,8
584,6
585,7
586,7
587,6
588,7
589,5
590,7
591,7
592,6
593,5
594,5
595,7
596,7
597,5
598,7
599,6
600,5
601,6
602,5
603,6
604,6
605,4
606,6
607,6
608,5
609,7
610,8
611,6
612,6
613,7
614,5
615,6
616,6
617,7
618,6
619,6
620,5
621,5
622,7
623,6
624,6
625,7
626,4
627,6
628,6
629,6
630,6
631,6
632,8
633,6
634,5
635,6
636,7
637,8
638,6
639,6
640,7
641,6
642,5
643,9
644,7
645,6
646,7
647,7
648,8
649,7
650,8
651,7
652,8
653,8
654,8
655,7
656,6
657,9
658,8
659,8
660,7
661,8
662,8
663,7
664,6
665,8
666,7
667,7
668,8
669,7
670,7
671,7
672,8
673,7
674,8
675,7
676,8
677,9
678,9
679,7
680,8
681,8
682,8
683,9
684,7
685,6
686,8
687,8
688,7
689,8
690,7
691,7
692,8
693,7
694,7
695,7
696,8
697,7
698,7
699,9
700,8
701,7
702,7
703,7
704,7
705,8
706,7
707,7
708,7
709,6
710,7
711,8
712,7
713,6
714,8
715,9
716,7
717,8
718,7
719,7
720,7
721,6
722,8
723,7
724,7
725,5
726,5
727,6
728,7
729,8
730,8
731,6
732,6
733,7
734,7
735,7
736,9
737,9
738,11
739,11
740,11
741,12
742,11
743,9
744,9
745,7
746,6
747,6
748,8
749,8
750,7
751,10
752,9
753,7
754,8
755,8
756,8
757,6
758,6
759,9
760,8
761,9
762,11
763,11
764,11
765,10
766,10
767,9
768,8
769,8
770,7
771,8
772,7
773,6
774,10
775,10
776,9
777,7
778,7
779,6
780,6
781,4
782,7
783,6
784,8
785,7
786,7
787,8
788,7
789,8
790,7
791,9
792,9
793,8
794,9
795,10
796,9
797,9
798,10
799,8
800,9
801,11
802,8
803,9
804,9
805,7
806,5
807,7
808,7
809,7
810,7
811,7
812,7
813,6
814,5
815,6
816,6
817,6
818,9
819,7
820,6
821,6
822,7
823,7
824,7
825,7
826,8
827,8
828,7
829,6
830,5
831,6
832,8
833,8
834,9
835,8
836,7
837,9
838,9
839,8
840,7
841,7
842,8
843,9
844,7
845,9
846,9
847,8
848,8
849,8
850,8
851,8
852,8
853,8
854,7
855,7
856,9
857,10
858,8
859,7
860,8
861,8
862,9
863,8
864,8
865,7
866,7
867,8
868,10
869,9
870,8
871,7
872,8
873,8
874,9
875,10
876,9
877,8
878,8
879,8
880,6
881,7
882,9
883,11
884,11
885,8
886,7
887,8
888,7
889,8
890,6
891,7
892,6
893,7
894,6
895,6
896,6
897,7
898,6
899,7
900,7
901,7
902,5
903,6
904,7
905,7
906,7
907,8
908,5
909,5
910,4
911,5
912,6
913,4
914,5
915,6
916,6
917,6
918,4
919,5
920,7
921,6
922,6
923,6
924,8
925,7
926,5
927,6
928,7
929,7
930,9
931,9
932,6
933,6
934,6
935,7
936,5
937,7
938,4
939,5
940,6
941,5
942,5
943,5
944,6
945,6
946,6
947,7
948,6
949,4
950,4
951,6
952,5
953,5
954,6
955,5
956,7
957,6
958,5
959,5
960,6
961,6
962,6
963,7
964,9
965,8
966,6
967,9
968,8
969,8
970,7
971,7
972,6
973,5
974,8
975,8
976,8
977,8
978,7
979,10
980,7
981,7
982,8
983,8
984,9
985,8
986,7
987,8
988,9
989,9
990,8
991,7
992,8
993,7
994,7
995,8
996,8
997,7
998,6
999,8
1000,9
1001,7
1002,7
1003,8
1004,8
1005,7
1006,9
1007,8
1008,8
1009,7
1010,8
1011,8
1012,8
1013,7
1014,7
1015,8
1016,8
1017,8
1018,7
1019,8
1020,8
1021,10
1022,9
1023,9
1024,7
1025,6
1026,6
1027,5
1028,5
1029,6
1030,5
1031,5
1032,7
1033,6
1034,7
1035,7
1036,6
1037,6
1038,6
1039,6
1040,6
1041,7
1042,6
1043,6
1044,6
1045,6
1046,5
1047,6
1048,5
1049,6
1050,7
1051,8
1052,7
1053,7
1054,8
1055,7
1056,8
1057,8
1058,6
1059,7
1060,6
1061,6
1062,6
1063,7
1064,6
1065,6
1066,8
1067,8
1068,9
1069,10
1070,6
1071,9
1072,8
1073,7
1074,6
1075,7
1076,7
1077,6
1078,7
1079,6
1080,6
1081,5
1082,7
1083,6
1084,5
1085,8
1086,7
1087,7
1088,6
1089,8
1090,6
1091,7
1092,6
1093,6
1094,7
1095,6
1096,4
1097,5
1098,5
1099,8
1100,7
1101,8
1102,9
1103,7
1104,8
1105,9
1106,9
1107,10
1108,9
1109,8
1110,8
1111,7
1112,9
1113,8
1114,8
1115,9
1116,7
1117,8
1118,8
1119,9
1120,9
1121,8
1122,8
1123,9
1124,9
1125,10
1126,8
1127,8
1128,11
1129,10
1130,9
1131,8
1132,8
1133,8
1134,9
1135,10
1136,8
1137,8
1138,8
1139,8
1140,10
1141,9
1142,8
1143,7
1144,8
1145,9
1146,8
1147,8
1148,9
1149,8
1150,8
1151,9
1152,8
1153,8
1154,7
1155,7
1156,8
1157,9
1158,9
1159,8
1160,7
1161,9
1162,8
1163,7
1164,9
1165,8
1166,9
1167,8
1168,9
1169,9
1170,8
1171,8
1172,8
1173,9
1174,9
1175,8
1176,8
1177,9
1178,9
1179,8
1180,8
1181,9
1182,6
1183,6
1184,8
1185,7
1186,6
1187,6
1188,9
1189,8
1190,8
1191,8
1192,8
1193,8
1194,7
1195,9
1196,8
1197,8
1198,9
1199,8
1200,8
1201,6
1202,8
1203,8
1204,8
1205,8
1206,8
1207,9
1208,8
1209,9
1210,9
1211,8
1212,9
1213,9
1214,8
1215,8
1216,8
1217,9
1218,9
1219,9
1220,8
1221,8
1222,8
1223,8
1224,7
1225,9
1226,5
1227,8
1228,10
1229,9
1230,6
1231,8
1232,7
1233,9
1234,8
1235,9
1236,9
1237,9
1238,7
1239,8
1240,7
1241,8
1242,8
1243,9
1244,8
1245,8
1246,9
1247,9
1248,9
1249,7
1250,9
1251,8
1252,8
1253,8
1254,8
1255,8
1256,8
1257,9
1258,9
1259,9
1260,8
1261,8
1262,6
1263,7
1264,8
1265,8
1266,8
1267,7
1268,7
1269,8
1270,8
1271,8
1272,9
1273,7
1274,7
1275,8
1276,8
1277,7
1278,7
1279,8
1280,8
1281,8
1282,9
1283,8
1284,9
1285,8
1286,9
1287,8
1288,8
1289,8
1290,7
1291,7
1292,7
1293,6
1294,7
1295,8
1296,8
1297,6
1298,7
1299,8
1300,8
1301,9
1302,9
1303,10
1304,9
1305,8
1306,8
1307,10
1308,9
1309,8
1310,8
1311,9
1312,8
1313,8
1314,8
1315,8
1316,8
1317,9
1318,7
1319,8
1320,9
1321,9
1322,9
1323,8
1324,8
1325,8
1326,8
1327,9
1328,10
1329,9
1330,9
1331,7
1332,7
1333,10
1334,9
1335,9
1336,8
1337,8
1338,9
1339,9
1340,10
1341,9
1342,9
1343,8
1344,8
1345,8
1346,8
1347,8
1348,9
1349,9
1350,8
1351,9
1352,9
1353,9
1354,9
1355,8
1356,8
1357,9
1358,8
1359,8
1360,8
1361,9
1362,8
1363,8
1364,7
1365,8
1366,8
1367,8
1368,8
1369,8
1370,8
1371,8
1372,8
1373,8
1374,8
1375,8
1376,10
1377,10
1378,9
1379,8
1380,8
1381,7
1382,7
1383,10
1384,12
1385,11
1386,11
1387,19
1388,14
1389,10
1390,10
1391,8
1392,9
1393,8
1394,9
1395,8
1396,8
1397,9
1398,9
1399,9
1400,8
1401,9
1402,8
1403,7
1404,7
1405,6
1406,8
1407,7
1408,6
1409,8
1410,6
1411,6
1412,6
1413,7
1414,7
1415,6
1416,6
1417,6
1418,6
1419,7
1420,7
1421,6
1422,6
1423,9
1424,7
1425,7
1426,6
1427,6
1428,6
1429,7
1430,6
1431,6
1432,5
1433,8
1434,9
1435,9
1436,7
1437,8
1438,9
1439,9
1440,7
1441,9
1442,8
1443,9
1444,9
1445,7
1446,7
1447,6
1448,7
